,street,flat
461,Riverview Rd,461
462,Noone St,462
463,Mater St,463
464,MacGregor St,464
465,Golf Rd,465
466,Wright St,466
467,Kennedy St,467
468,Mitford St,468
469,Warwick Rd,469
470,Marriage Rd,470
471,Abbott St,471
472,Halsey Rd,472
473,Jamieson St,473
474,The Strand,474
475,Templestowe Rd,475
476,Greville St,476
477,Pullar St,477
478,Clauscen St,478
479,Flemington Rd,479
480,Estelle St,480
481,Huntingdale Rd,481
482,Mansfield St,482
483,Veronica St,483
484,Keilor Rd,484
485,Windsor St,485
486,Brenbeal St,486
487,Ludeman Ct,487
488,Linden St,488
489,Hampton Pde,489
490,Loeman St,490
491,Sydney St,491
492,Marne St,492
493,Easey St,493
494,Carrick Dr,494
495,Newry St,495
496,Grace St,496
497,Cliff St,497
498,Warleigh Rd,498
499,St Kilda Rd,499
500,Cunningham St,500
501,Rathdowne St,501
502,Luckins Rd,502
503,Grieve Pde,503
504,Grandview Rd,504
505,Ashwood Dr,505
506,Cochrane St,506
507,Kavanagh St,507
508,Westbrook St,508
509,Cambridge St,509
510,Hooker Rd,510
511,Alma St,511
512,Archibald St,512
513,Hotham Rd,513
514,Fulham Rd,514
515,Warrigal Rd,515
516,Sydney Rd,516
517,Coronation St,517
518,Darebin Bvd,518
519,Gowanbrae Dr,519
520,Percy St,520
521,Wattle Gr,521
522,Patterson St,522
523,Stanhope St,523
524,Kellett St,524
525,Maud St,525
526,Liddiard St,526
527,Bastings St,527
528,Pentland Pde,528
529,Agg St,529
530,Boisdale St,530
531,Davey St,531
532,Judith St,532
533,Melville Rd,533
534,Martins La,534
535,Elphin Gr,535
536,Argyle Rd,536
537,Booran Rd,537
538,Fawkner St,538
539,Emmaline St,539
540,Mills St,540
541,Wallen Rd,541
542,Lily St,542
543,Henty St,543
544,Bank St,544
545,Salisbury St,545
546,Radnor St,546
547,Lynch Rd,547
548,Oconnor St,548
549,Belmont Av,549
550,Selwyn St,550
551,Livingstone St,551
552,Sturt St,552
553,Patricia St,553
554,Yeovil Rd,554
555,Cheddar Rd,555
556,Pickett St,556
557,McIntyre St,557
558,Grove Rd,558
559,Edinburgh St,559
560,Bath Rd,560
561,Hodder St,561
562,Grieve St,562
563,Hood St,563
564,Connie St,564
565,Major Rd,565
566,Bennett St,566
567,Clark St,567
568,Cotham Rd,568
569,Soudan St,569
570,Clifton Rd,570
571,Kent St,571
572,Through Rd,572
573,Pine St,573
574,Brian St,574
575,Baird St,575
576,Roslyn St,576
577,Pascoe St,577
578,Edgewater Bvd,578
579,Shepherd St,579
580,Warner St,580
581,Christmas St,581
582,Beavers Rd,582
583,Dalston Rd,583
584,Russell St,584
585,Sadie St,585
586,Black St,586
587,Parkmore Rd,587
588,Narong Rd,588
589,Melrose Dr,589
590,Devon Rd,590
591,Finsbury St,591
592,Dean St,592
593,Bliburg St,593
594,Haldane Rd,594
595,Hart St,595
596,Orange Gr,596
597,James St,597
598,Beach Rd,598
599,Adelaide St,599
600,Cumming St,600
601,Eucalyptus Dr,601
602,Cumberland Rd,602
603,Garfield St,603
604,Studley Park Rd,604
605,Thomson St,605
606,Jeffcott St,606
607,Pottery Ct,607
608,Ruskin St,608
609,East St,609
610,Leopold St,610
611,Hilda St,611
612,Yuille St,612
613,Brooke St,613
614,Sunset Bvd,614
615,Barrani St,615
616,Bishop St,616
617,Somerville Rd,617
618,Ashby Gr,618
619,Milleara Rd,619
620,McKay St,620
621,Cole St,621
622,Charlotte St,622
623,Wests Rd,623
624,Rosamond Rd,624
625,Beaver St,625
626,Alma Tce,626
627,Churchill St,627
628,Parramatta Rd,628
629,Freeman St,629
630,Kangaroo Rd,630
631,Muriel St,631
632,Celia St,632
633,Elgin St,633
634,Pakington St,634
635,Milford St,635
636,Hilma St,636
637,McConnell St,637
638,Eveline St,638
639,Murra Ct,639
640,Lower Plenty Rd,640
641,Dent St,641
642,Grenville St,642
643,Alfred Rd,643
644,Palmerston St,644
645,Nicholas St,645
646,Raleigh Rd,646
647,Mirams St,647
648,Grosvenor St,648
649,Southey St,649
650,Ash Gr,650
651,Roden St,651
652,Merton St,652
653,Serpells Rd,653
654,Balmoral St,654
655,Fyfe Dr,655
656,Valiant St,656
657,Redfern Rd,657
658,Highridge Cr,658
659,Devonshire Rd,659
660,Contursi Dr,660
661,Outhwaite Rd,661
662,Bessie St,662
663,Harker St,663
664,Stapley Cr,664
665,Melva St,665
666,Andrew St,666
667,Lilac St,667
668,Neptune St,668
669,Albany Pl,669
670,Arden Ct,670
671,Moonee Bvd,671
672,Arndt Rd,672
673,Kingsley St,673
674,MacAulay Rd,674
675,Radio St,675
676,Moreland St,676
677,Graves St,677
678,Liverpool St,678
679,Henshall Rd,679
680,Tuxen Ct,680
681,Freame St,681
682,Brandon St,682
683,Hill St,683
684,Sylvester St,684
685,Boeing Rd,685
686,Male St,686
687,Parkhill Dr,687
688,Newstead St,688
689,Woorayl St,689
690,Queensberry St,690
691,Albion Rd,691
692,Shaftesbury Pde,692
693,Gilbertson St,693
694,Leura Gr,694
695,Munster Tce,695
696,Ellesmere Rd,696
697,Widford St,697
698,Tinning St,698
699,Brockley Rd,699
700,Alexandra St,700
701,Howitt St,701
702,Shakespeare Gr,702
703,Hawke St,703
704,Florence Rd,704
705,Brady Rd,705
706,Scenic Dr,706
707,Elphinstone St,707
708,Beaconsfield Pde,708
709,Benjamin St,709
710,Adeney St,710
711,McCarron Pde,711
712,Sterling Dr,712
713,Centurion Ct,713
714,Douglas St,714
715,Walker St,715
716,Dongola Rd,716
717,Donnelly Ct,717
718,Bellarine St,718
719,Saunders St,719
720,Southernhay St,720
721,Crofton Dr,721
722,Astley St,722
723,Lobb St,723
724,Irvine St,724
725,Bonar St,725
726,Pickles St,726
727,David St,727
728,Industry La,728
729,Howell St,729
730,Poplar Gr,730
731,Harcourt St,731
732,Empress Rd,732
733,Dumblane St,733
734,Rusden St,734
735,St Edmonds Rd,735
736,Fyffe St,736
737,Fenwick St,737
738,Woorigoleen Rd,738
739,Hull St,739
740,Bayview St,740
741,Tilley St,741
742,Rix St,742
743,Panorama Dr,743
744,Wrexham Rd,744
745,Lyons St,745
746,Hardiman St,746
747,Hudsons Rd,747
748,Yallambie Rd,748
749,David Av,749
750,Mendip Rd,750
751,Barrett St,751
752,Eildon Rd,752
753,McComas Gr,753
754,Croker St,754
755,Olwen St,755
756,Docker St,756
757,Donal St,757
758,Castlemaine St,758
759,Marion St,759
760,Frensham Rd,760
761,Bradshaw St,761
762,Shirley St,762
763,Main Rd,763
764,Campbell Gr,764
765,Locksley Rd,765
766,Nicholson Pde,766
767,Ibis Pl,767
768,Hudson St,768
769,Beatty St,769
770,Milne St,770
771,Nottingham St,771
772,Minogue St,772
773,Hatfield Ct,773
774,Howson St,774
775,McNamara St,775
776,Eva St,776
777,Barilla Rd,777
778,Cawkwell St,778
779,Heather Gr,779
780,Springvale Rd,780
781,Dunlavin Rd,781
782,Parkside Bvd,782
783,McArthur Rd,783
784,Lena St,784
785,Bevis St,785
786,Durrant St,786
787,Morris St,787
788,Vaynor St,788
789,Kingsville St,789
790,Montgomery St,790
791,Grey St,791
792,Highfield Rd,792
793,Highett Rd,793
794,Temple St,794
795,Pennington St,795
796,City Rd,796
797,Middleborough Rd,797
798,Vickery St,798
799,Bolinda Rd,799
800,Newsom St,800
801,Newcastle St,801
802,Empire St,802
803,Spenser St,803
804,Shiers St,804
805,Bulli St,805
806,Short St,806
807,Athol St,807
808,Sapphire St,808
809,Norris St,809
810,Speight St,810
811,Grimwade Ct,811
812,Durkin St,812
813,Sutton St,813
814,Farm St,814
815,Type St,815
816,Haynes St,816
817,Prior Rd,817
818,Wreckyn St,818
819,Alpine Gr,819
820,Alston St,820
821,McIlwraith St,821
822,Were St,822
823,Genoa St,823
824,Bay Rd,824
825,Billson St,825
826,Hutchinson St,826
827,McGregor St,827
828,Gardner St,828
829,Swindon Rd,829
830,Augusta St,830
831,Ward St,831
832,Wyalong St,832
833,Quinn St,833
834,Baxter St,834
835,Wattle Dr,835
836,Michael Ct,836
837,Dianne St,837
838,Mulga St,838
839,Kumala Rd,839
840,Kelson St,840
841,Albenca St,841
842,Greenwood Dr,842
843,Aberdeen Rd,843
844,Dermot St,844
845,Kellaway St,845
846,Ada St,846
847,Glass St,847
848,Tudor Ct,848
849,Wattle Valley Rd,849
850,Armadale St,850
851,Mulberry Pde,851
852,Fairy St,852
853,Cardinal Rd,853
854,East Rd,854
855,Cascade St,855
856,Prospect St,856
857,Champion Rd,857
858,Camelia St,858
859,Sherwood St,859
860,Hayes Pde,860
861,Carpenter St,861
862,Molden St,862
863,Alexander Cl,863
864,Stenson Rd,864
865,Hobart Wy,865
866,Boronia St,866
867,Gladstone Pde,867
868,Garton St,868
869,Withers St,869
870,Staughton Rd,870
871,Chesterville Rd,871
872,Jaguar Dr,872
873,Plenty Rd,873
874,Ellendale St,874
875,Glengala Rd,875
876,Gamon St,876
877,Argyll St,877
878,Nutwood St,878
879,Gray St,879
880,MacKenzie St,880
881,Mimosa Rd,881
882,Broughton Rd,882
883,Creswick St,883
884,Banksia St,884
885,Weybridge St,885
886,Tudor St,886
887,Cumberland St,887
888,Pasco St,888
889,Moylan St,889
890,Carmichael St,890
891,Brown St,891
892,Ascot St,892
893,Moor St,893
894,Shrewsbury St,894
895,Tribe St,895
896,Chapman St,896
897,Witchwood Cl,897
898,Gardenvale Rd,898
899,Athelstane Gr,899
900,Cosy Gum Rd,900
901,Wonganella Dr,901
902,Hampshire Rd,902
903,Stanlake St,903
904,Border Dr,904
905,Day St,905
906,Beaconsfield Rd,906
907,Yerrin St,907
908,Downs St,908
909,Prospect Dr,909
910,Leafield St,910
911,Racecourse Rd,911
912,Findon St,912
913,Railway Rd,913
914,Orchard St,914
915,Brook St,915
916,Andrews St,916
917,Doncaster Rd,917
918,Moubray St,918
919,Coghlan St,919
920,Killara St,920
921,Westbank Tce,921
922,Hansen St,922
923,Warley Rd,923
924,Glenard Dr,924
925,Spring St,925
926,Londrew Ct,926
927,Loller St,927
928,Durward Rd,928
929,Iona St,929
930,Alberta St,930
931,Clive St,931
932,Invermay Gr,932
933,Winston St,933
934,Rollo St,934
935,Cross St,935
936,Elder St,936
937,Cameron Rd,937
938,Milroy St,938
939,Swallow St,939
940,Winfield Rd,940
941,Waratah St,941
942,Riverpark Dr,942
943,Dumbarton St,943
944,Emu Pde,944
945,Hosken St,945
946,Yangoora Pl,946
947,Clapham St,947
948,Kiewa St,948
949,Brickwood St,949
950,Amess St,950
951,Hull Rd,951
952,Bulla Rd,952
953,Burnett St,953
954,Bailey Av,954
955,Beatrice St,955
956,Stennis St,956
957,Jasper Rd,957
958,Iramoo St,958
959,Watt St,959
960,Church Rd,960
961,Grandview Gr,961
962,Davison St,962
963,Rowans Rd,963
964,Bluff Rd,964
965,Wilkinson St,965
966,Hunter Rd,966
967,Dorset Rd,967
968,Tranmere Av,968
969,Milton Pde,969
970,Bevan St,970
971,Shaftesbury St,971
972,Kerferd Rd,972
973,Chester St,973
974,Hedderwick St,974
975,Daisy St,975
976,Ann St,976
977,Neil St,977
978,Holmes Rd,978
979,Koornang Rd,979
980,Roseneath St,980
981,Redan St,981
982,Camperdown St,982
983,Diosma Ct,983
984,England St,984
985,The Crossway,985
986,Woodmason St,986
987,Sandown Rd,987
988,Coates St,988
989,Ventnor St,989
990,Burns Ct,990
991,Maroona Rd,991
992,Arthurton Rd,992
993,Fraser St,993
994,Marks St,994
995,Kurrajong Cr,995
996,Hawker St,996
997,Judd St,997
998,Robb St,998
999,Perth Ct,999
1000,Pattison St,1000
1001,Bordeaux St,1001
1002,Steele St,1002
1003,Dalgety Dr,1003
1004,Seggan Cir,1004
1005,Eleanor St,1005
1006,Berkshire Rd,1006
1007,St Vigeons Rd,1007
1008,Curzon St,1008
1009,Normanby St,1009
1010,Clive Ct,1010
1011,Sargood St,1011
1012,Holyrood St,1012
1013,McCully St,1013
